input_street,input_city,input_county,input_state,most_sim_street,sim_score,mostsimstreet_id,highway,lanes,oneway
Camino del Rey,Bonsall,San Diego,CA,Camino del Rey,100,594063393,secondary,Not_Present_Value,no
Avenue D,Rochester,Monroe,NY,Avenue D,100,1114897695,tertiary,Not_Present_Value,Not_Present_Value
Broadway,Burlingame,San Mateo,CA,Broadway,100,592242098,secondary,3,yes
Fairfax Pike,Stephens City,Frederick,VA,Fairfax Pike,100,55327250,primary,2,Not_Present_Value
Gallatin Pike,Nashville,Davidson,TN,Gallatin Pike,100,633979436,secondary,Not_Present_Value,Not_Present_Value
El Ricon Way,Sacramento,Sacramento,CA,El Ricon Way,100,10507697,residential,Not_Present_Value,Not_Present_Value
New York State Thruway,West Nyack,Rockland,NY,New York State Thruway,100,1062935528,motorway,5,yes
Sumneytown Pike,Lansdale,Montgomery,PA,Sumneytown Pike,100,637092550,primary,2,Not_Present_Value
State Road 52,Hudson,Pasco,FL,State Road 52,100,284934446,primary,3,yes
Old US 41,Fort Myers,Lee,FL,Old US 41,100,11018421,residential,Not_Present_Value,Not_Present_Value
Crosstown Connection,Schenectady,Schenectady,NY,Crosstown Connection,100,249123952,trunk,2,yes
Sherman Way,Van Nuys,Los Angeles,CA,Sherman Way,100,676312263,primary,3,yes
Hillsboro Pike,Nashville,Davidson,TN,Hillsboro Pike,100,1053516276,primary,3,yes
State Road 54,Wesley Chapel,Pasco,FL,State Road 54,100,815120657,primary,1,yes
The Fairway,Jenkintown,Montgomery,PA,The Fairway,100,1078464785,secondary,2,yes
County Road 98,Davis,Yolo,CA,County Road 98,100,10745311,secondary,Not_Present_Value,Not_Present_Value
New York State Thruway,Southfields,Orange,NY,New York State Thruway,100,38220165,motorway,3,yes
Pioneer Way,Gig Harbor,Pierce,WA,Pioneer Way,100,12221333,secondary,2,Not_Present_Value
New York State Thruway,Kingston,Ulster,NY,New York State Thruway,100,239449412,motorway,2,yes
Highway 292,Inman,Spartanburg,SC,Highway 292,100,155511723,secondary,Not_Present_Value,Not_Present_Value
Broadway,Gary,Lake,IN,Broadway,100,60862572,primary,3,yes
Fruitville Pike,Lancaster,Lancaster,PA,Fruitville Pike,100,1164863765,secondary,2,Not_Present_Value
New York State Thruway,Yonkers,Westchester,NY,New York State Thruway,100,1060438163,motorway,3,yes
State Route 3,Clifton,Passaic,NJ,State Route 3,100,968512581,trunk,3,yes
Capital Beltway,Greenbelt,Prince George's,MD,Capital Beltway,100,870733727,motorway,4,yes
New York State Thruway,Wallkill,Orange,NY,New York State Thruway,100,637139561,motorway,2,yes
New York State Thruway,Nyack,Rockland,NY,New York State Thruway,100,683384722,motorway,4,yes
Veterans Memorial Tollway,Woodridge,DuPage,IL,Veterans Memorial Tollway,100,906460662,motorway,4,yes
El Camino Real,Redwood City,San Mateo,CA,El Camino Real,100,847205127,primary,3,yes
Haggerty Connector,Novi,Oakland,MI,Haggerty Connector,100,123323679,motorway,3,yes
El Camino Real,Aromas,San Benito,CA,El Camino Real,100,712527234,trunk,2,yes
Avenue 196,Strathmore,Tulare,CA,Avenue 196,100,1028832761,secondary,2,Not_Present_Value
American Italian Way,Columbia,Richland,SC,American Italian Way,100,860677389,residential,Not_Present_Value,Not_Present_Value
San Simeon Way,Miami,Miami-Dade,FL,San Simeon Way,100,1105136246,tertiary,2,yes
Broadway,Saugus,Essex,MA,Broadway,100,1141947954,trunk,3,yes
Edmondson Pike,Nashville,Davidson,TN,Edmondson Pike,100,750435365,tertiary,Not_Present_Value,Not_Present_Value
New York State Thruway,Elmsford,Westchester,NY,New York State Thruway,100,44413109,motorway,2,yes
Pottstown Pike,Exton,Chester,PA,Pottstown Pike,100,1059845716,trunk,3,yes
Campo de Cahuenga,Studio City,Los Angeles,CA,Campo de Cahuenga,100,405375361,primary,4,yes
Mukilteo Speedway,Lynnwood,Snohomish,WA,Mukilteo Speedway,100,1191451624,primary,2,yes
Pearl Harbor Memorial Highway,Buckeye,Maricopa,AZ,Pearl Harbor Memorial Highway,100,28470000,motorway,2,yes
New Holland Pike,Lancaster,Lancaster,PA,New Holland Pike,100,263484668,primary,3,yes
US Highway 72,Athens,Limestone,AL,US Highway 72,100,467637078,trunk,4,yes
Singing Tree Way,Antelope,Sacramento,CA,Singing Tree Way,100,10503089,residential,Not_Present_Value,Not_Present_Value
Capital Beltway,Dunn Loring,Fairfax,VA,Capital Beltway,100,1120695688,motorway,5,yes
Prater Way,Sparks,Washoe,NV,Prater Way,100,611832459,secondary,2,yes
Clarksville Pike,Nashville,Davidson,TN,Clarksville Pike,100,634020578,primary,6,Not_Present_Value
New York State Thruway,Tillson,Ulster,NY,New York State Thruway,100,39708101,motorway,2,yes
Broadway,East Providence,Providence,RI,Broadway,100,661055485,secondary,Not_Present_Value,Not_Present_Value
Avenida Vista Hermosa,San Clemente,Orange,CA,Avenida Vista Hermosa,100,399485100,secondary,2,yes
The Plaza,Charlotte,Mecklenburg,NC,The Plaza,100,648248483,secondary,4,Not_Present_Value
Plainfield Pike,Johnston,Providence,RI,Plainfield Pike,100,42948349,primary,Not_Present_Value,yes
Highway 24,Townville,Anderson,SC,Highway 24,100,34175231,secondary,Not_Present_Value,Not_Present_Value
Fellsway,Somerville,Middlesex,MA,Fellsway,100,286619213,trunk,2,yes
FM 812,Del Valle,Travis,TX,FM 812,100,122593209,secondary,Not_Present_Value,Not_Present_Value
Limekiln Pike,Ambler,Montgomery,PA,Limekiln Pike,100,836154938,secondary,3,Not_Present_Value
I-295 Express Lanes,Jacksonville,Duval,FL,I-295 Express Lanes,100,690513614,motorway,2,yes
Highway 14,Gray Court,Laurens,SC,Highway 14,100,995572754,secondary,2,Not_Present_Value
Boulevard de Province,Baton Rouge,East Baton Rouge,LA,Boulevard de Province,100,12632022,tertiary,Not_Present_Value,Not_Present_Value
Ridge Pike,Lafayette Hill,Montgomery,PA,Ridge Pike,100,423966592,primary,Not_Present_Value,Not_Present_Value
Highway 370,Papillion,Sarpy,NE,Highway 370,100,816953146,trunk,2,yes
Holland Tunnel,Jersey City,Hudson,NJ,Holland Tunnel,100,1167227169,construction,2,yes
Florence Ave,Bell Gardens,Los Angeles,CA,Florence Ave,100,1036472470,primary,3,yes
Salvati Way,Providence,Providence,RI,Salvati Way,100,19384679,residential,Not_Present_Value,Not_Present_Value
Paseo Grande,San Lorenzo,Alameda,CA,Paseo Grande,100,745958722,tertiary,1,yes
Bethlehem Pike,Colmar,Montgomery,PA,Bethlehem Pike,100,1232830298,trunk,5,no
Microsoft Way,Charlotte,Mecklenburg,NC,Microsoft Way,100,1053614127,unclassified,2,yes
Brinckman Way,Elgin,Kane,IL,Brinckman Way,100,21822962,service,Not_Present_Value,yes
Bethlehem Pike,Flourtown,Montgomery,PA,Bethlehem Pike,100,836388685,primary,Not_Present_Value,Not_Present_Value
Fremont Bridge,Portland,Multnomah,OR,Fremont Bridge,100,49098926,motorway,3,yes
Buttermilk Pike,Crescent Springs,Kenton,KY,Buttermilk Pike,100,529130689,secondary,6,Not_Present_Value
Highway 153,Greenville,Anderson,SC,Highway 153,100,1179754078,trunk,2,yes
Highway 87 Bikeway,San Jose,Santa Clara,CA,Highway 87 Bikeway,100,51850354,cycleway,2,Not_Present_Value
Highway 9,Inman,Spartanburg,SC,Highway 9,100,1044587618,secondary,5,Not_Present_Value
New York State Thruway,Newburgh,Orange,NY,New York State Thruway,100,38221753,motorway,2,yes
Ashridge Way,Simpsonville,Greenville,SC,Ashridge Way,100,12401868,residential,Not_Present_Value,Not_Present_Value
Jane Addams Memorial Tollway,Barrington,Cook,IL,Jane Addams Memorial Tollway,100,910004580,motorway,4,yes
Buffalo Speedway,Houston,Harris,TX,Buffalo Speedway,100,1061298240,secondary,2,yes
Bath Pike,Bethlehem,Northampton,PA,Bath Pike,100,571825482,primary,2,yes
Jamaican Ct,Orlando,Orange,FL,Jamaican Ct,100,148748798,unclassified,Not_Present_Value,yes
Mindanao Way,Marina Del Rey,Los Angeles,CA,Mindanao Way,100,967795424,secondary,6,Not_Present_Value
Capital Beltway,Bethesda,Montgomery,MD,Capital Beltway,100,124083342,motorway,2,yes
Broadway,Huntington Park,Los Angeles,CA,Broadway,100,398630843,tertiary,3,Not_Present_Value
Arizona Veterans Highway,Black Canyon City,Yavapai,AZ,Arizona Veterans Highway,100,202504413,motorway,2,yes
Avenue 12,Madera,Madera,CA,Avenue 12,100,952343805,secondary,Not_Present_Value,yes
Postal Way,Myrtle Beach,Horry,SC,Postal Way,100,891788338,tertiary,Not_Present_Value,yes
State Route 9,Mount Vernon,Skagit,WA,State Route 9,100,1193690659,secondary,2,no
McGavock Pike,Nashville,Davidson,TN,McGavock Pike,100,635079241,tertiary,3,yes
Oak Villa,Baton Rouge,East Baton Rouge,LA,Oak Villa,100,12629255,secondary,Not_Present_Value,Not_Present_Value
Sumneytown Pike,North Wales,Montgomery,PA,Sumneytown Pike,100,626834242,primary,Not_Present_Value,Not_Present_Value
Camino del Norte,San Diego,San Diego,CA,Camino del Norte,100,436407375,primary,5,yes
FM 969,Austin,Travis,TX,FM 969,100,376534132,primary,4,yes
Katy Tollway,Houston,Harris,TX,Katy Tollway,100,67659254,motorway,2,yes
MacGregor Way,Houston,Harris,TX,MacGregor Way,100,15450501,tertiary,2,Not_Present_Value
Camino Bello,Rowland Heights,Los Angeles,CA,Camino Bello,100,13458219,residential,Not_Present_Value,Not_Present_Value
County Road 10,Minneapolis,Hennepin,MN,County Road 10,100,41443083,secondary,2,yes
New York State Thruway,New Windsor,Orange,NY,New York State Thruway,100,39995184,motorway,2,yes
New York State Thruway,Ardsley,Westchester,NY,New York State Thruway,100,1100855947,motorway,3,yes
State Road 580,Clearwater,Pinellas,FL,State Road 580,100,1189331175,primary,3,yes
I-10,Ontario,San Bernardino,CA,I-10,100,1062799060,construction,Not_Present_Value,Not_Present_Value
Murfreesboro Pike,Nashville,Davidson,TN,Murfreesboro Pike,100,634001000,primary,4,Not_Present_Value
Highway 90,Longs,Horry,SC,Highway 90,100,1267234958,secondary,Not_Present_Value,yes
State Highway 200,Winnsboro,Fairfield,SC,State Highway 200,100,172613484,secondary,2,Not_Present_Value
Interstate Bridge,Vancouver,Clark,WA,Interstate Bridge,100,30373423,path,Not_Present_Value,Not_Present_Value
Arizona Veterans Highway,Mayer,Yavapai,AZ,Arizona Veterans Highway,100,113086981,motorway,2,yes
Una Antioch Pike,Nashville,Davidson,TN,Una Antioch Pike,100,19481011,secondary,2,Not_Present_Value
Baltimore National Pike,Catonsville,Baltimore County,MD,Baltimore National Pike,100,425106103,primary,5,yes
Graces Way,Columbia,Richland,SC,Graces Way,100,275801920,unclassified,2,no
Highway 9,Felton,Santa Cruz,CA,Highway 9,100,742780326,secondary,2,Not_Present_Value
Lititz Pike,Lancaster,Lancaster,PA,Lititz Pike,100,51713721,trunk,4,Not_Present_Value
Highway 86,Piedmont,Anderson,SC,Highway 86,100,171562212,secondary,Not_Present_Value,Not_Present_Value
Elm Hill Pike,Nashville,Davidson,TN,Elm Hill Pike,100,634020730,secondary,3,Not_Present_Value
New York State Thruway,Wallkill,Ulster,NY,New York State Thruway,100,38224412,motorway,2,yes
Interstate 30,Mesquite,Dallas,TX,Interstate 30,100,27993219,secondary,Not_Present_Value,yes
Avenue 368,Visalia,Tulare,CA,Avenue 368,100,1030233497,tertiary,Not_Present_Value,Not_Present_Value
Broadway,Sonoma,Sonoma,CA,Broadway,100,732272753,primary,2,Not_Present_Value
FM 812,Austin,Travis,TX,FM 812,100,436627704,secondary,Not_Present_Value,Not_Present_Value
Boulevard of the Allies,Pittsburgh,Allegheny,PA,Boulevard of the Allies,100,294294288,trunk,2,yes
Highway 90,Little River,Horry,SC,Highway 90,100,12429441,secondary,Not_Present_Value,Not_Present_Value
Olive Way,Seattle,King,WA,Olive Way,100,428248109,primary,4,yes
FM 741,Forney,Kaufman,TX,FM 741,100,1102917971,secondary,2,no
Washington Bridge,Providence,Providence,RI,Washington Bridge,100,123069136,motorway,4,yes
Cottage Way,Sacramento,Sacramento,CA,Cottage Way,100,967573121,tertiary,Not_Present_Value,Not_Present_Value
Highway 370,Omaha,Sarpy,NE,Highway 370,100,744814288,trunk,3,yes
I-10,Upland,San Bernardino,CA,I-10,100,1062799060,construction,Not_Present_Value,Not_Present_Value
Highway 99,Lynnwood,Snohomish,WA,Highway 99,100,1189313739,primary,2,yes
Via Princessa,Canyon Country,Los Angeles,CA,Via Princessa,100,1088137838,secondary,2,yes
Kestral Park Way N,Sarasota,Sarasota,FL,Kestral Park Way N,100,777421091,unclassified,Not_Present_Value,Not_Present_Value
State Highway 22,Mankato,Blue Earth,MN,State Highway 22,100,366496621,primary,2,yes
Connally Loop,San Antonio,Bexar,TX,Connally Loop,100,122629193,motorway,5,yes
SC Highway 34,Newberry,Newberry,SC,SC Highway 34,100,173216725,secondary,2,Not_Present_Value
Urbana Pike,Ijamsville,Frederick,MD,Urbana Pike,100,11553304,primary,2,Not_Present_Value
Capital Beltway,Kensington,Montgomery,MD,Capital Beltway,100,26716101,motorway,4,yes
Jane Addams Memorial Tollway,Des Plaines,Cook,IL,Jane Addams Memorial Tollway,100,1024488516,motorway,4,yes
Commercial Way,Brooksville,Hernando,FL,Commercial Way,100,1104832236,trunk,2,yes
Big Basin Way,Saratoga,Santa Clara,CA,Big Basin Way,100,262961635,secondary,2,Not_Present_Value
Honda Way,Timmonsville,Florence,SC,Honda Way,100,12395915,secondary,4,Not_Present_Value
Pearl Harbor Memorial Highway,Tonopah,Maricopa,AZ,Pearl Harbor Memorial Highway,100,157483843,motorway,2,yes
Baltusrol Way,Springfield,Union,NJ,Baltusrol Way,100,1038064388,tertiary,Not_Present_Value,Not_Present_Value
Plainfield Pike,Cranston,Providence,RI,Plainfield Pike,100,1074534025,primary,2,yes
Putnam Pike,Smithfield,Providence,RI,Putnam Pike,100,660909380,primary,3,yes
Apex Peakway,Apex,Wake,NC,Apex Peakway,100,18893925,secondary,Not_Present_Value,Not_Present_Value
Jane Addams Memorial Tollway,Elk Grove Village,Cook,IL,Jane Addams Memorial Tollway,100,907763326,motorway,4,yes
New York State Thruway,Ripley,Chautauqua,NY,New York State Thruway,100,607083271,motorway,2,yes
Skippack Pike,Blue Bell,Montgomery,PA,Skippack Pike,100,1200826802,primary,Not_Present_Value,Not_Present_Value
Old Nichols Rd,Islandia,Suffolk,NY,Old Nichols Rd,100,1039667920,tertiary,7,Not_Present_Value
Highway 21,Covington,St. Tammany,LA,Highway 21,100,1085586549,secondary,Not_Present_Value,yes
New York State Thruway,Nanuet,Rockland,NY,New York State Thruway,100,327526100,motorway,3,yes
US Highway 31,Tanner,Limestone,AL,US Highway 31,100,468031173,primary,2,yes
Camino Pablo,Orinda,Contra Costa,CA,Camino Pablo,100,832523273,primary,3,yes
Camino de Estrella,San Clemente,Orange,CA,Camino de Estrella,100,352852628,secondary,4,yes
County Road 28,Clanton,Chilton,AL,County Road 28,100,6269318,tertiary,Not_Present_Value,Not_Present_Value
Sherman Way,North Hollywood,Los Angeles,CA,Sherman Way,100,84017472,primary,Not_Present_Value,Not_Present_Value
Franklin Pike,Brentwood,Davidson,TN,Franklin Pike,100,686870802,primary,4,Not_Present_Value
University Way,Spartanburg,Spartanburg,SC,University Way,100,12559671,unclassified,Not_Present_Value,Not_Present_Value
Hixson Pike,Hixson,Hamilton,TN,Hixson Pike,100,59006880,primary,Not_Present_Value,yes
Highway 418,Pelzer,Greenville,SC,Highway 418,100,157428180,primary,2,no
Port Miami Tunnel,Miami,Miami-Dade,FL,Port Miami Tunnel,100,1236164548,motorway,2,yes
Baltimore National Pike,Ellicott City,Howard,MD,Baltimore National Pike,100,978643653,primary,3,yes
FM 973,Manor,Travis,TX,FM 973,100,655501826,secondary,3,Not_Present_Value
Avenue 232,Lindsay,Tulare,CA,Avenue 232,100,1289444918,primary,2,Not_Present_Value
Road 128,Cutler,Tulare,CA,Road 128,100,196632831,primary,2,Not_Present_Value
Baltimore Harbor Tunnel,Curtis Bay,Baltimore City,MD,Baltimore Harbor Tunnel,100,158620176,motorway,2,yes
FM 1327,Austin,Travis,TX,FM 1327,100,176832697,secondary,3,yes
US Highway 72,Madison,Limestone,AL,US Highway 72,100,473162851,trunk,3,yes
Highway 252,Belton,Anderson,SC,Highway 252,100,1116019426,secondary,Not_Present_Value,Not_Present_Value
Seven Springs Way,Brentwood,Davidson,TN,Seven Springs Way,100,1043343648,residential,Not_Present_Value,yes
Pearl Park Way,Charlotte,Mecklenburg,NC,Pearl Park Way,100,1051213280,residential,3,Not_Present_Value
Old Philadelphia Pike,Lancaster,Lancaster,PA,Old Philadelphia Pike,100,45978267,primary,Not_Present_Value,Not_Present_Value
State Highway 132,Tracy,San Joaquin,CA,State Highway 132,100,32455963,trunk,2,Not_Present_Value
Prado Way,Greenville,Greenville,SC,Prado Way,100,42326958,service,Not_Present_Value,Not_Present_Value
County Road 102,Woodland,Yolo,CA,County Road 102,100,25578617,primary,4,Not_Present_Value
Central Thruway,Baton Rouge,East Baton Rouge,LA,Central Thruway,100,357824643,primary,2,yes
Walton Way,Augusta,Richmond,GA,Walton Way,100,356378230,primary,3,yes
Harrisburg Pike,Lancaster,Lancaster,PA,Harrisburg Pike,100,541588170,primary,4,no
US Highway 19,New Port Richey,Pasco,FL,US Highway 19,100,646364108,trunk,3,yes
Licking Pike,Newport,Campbell,KY,Licking Pike,100,737419899,trunk,2,yes
Derby Ave,Orange,New Haven,CT,Derby Ave,100,954348128,trunk,2,yes
Capital Beltway,Upper Marlboro,Prince George's,MD,Capital Beltway,100,1120695700,motorway,4,yes
County Road 8,Erie,Weld,CO,County Road 8,100,642697980,secondary,3,yes
George Washington Bridge,New York,New York,NY,George Washington Bridge,100,46593266,construction,Not_Present_Value,Not_Present_Value
Highway 153,Piedmont,Anderson,SC,Highway 153,100,37548478,trunk,5,Not_Present_Value
Old National Pike,Frederick,Frederick,MD,Old National Pike,100,130642782,primary,2,yes
Capital Beltway,McLean,Fairfax,VA,Capital Beltway,100,124083349,motorway,4,yes
Highway 324,Rock Hill,York,SC,Highway 324,100,12555145,secondary,2,Not_Present_Value
State Road 52,Land O Lakes,Pasco,FL,State Road 52,100,1149588486,primary,Not_Present_Value,yes
McCallen Pass,Austin,Travis,TX,McCallen Pass,100,619142569,secondary,2,yes
Charles Town Pike,Hamilton,Loudoun,VA,Charles Town Pike,100,244628277,trunk,2,no
Antioch Pike,Antioch,Davidson,TN,Antioch Pike,100,1070315067,secondary,Not_Present_Value,Not_Present_Value
State Road 52,San Antonio,Pasco,FL,State Road 52,100,553812953,primary,2,yes
US Highway 19,Holiday,Pasco,FL,US Highway 19,100,1093521470,trunk,3,yes
Broadway,Nashville,Davidson,TN,Broadway,100,1136664145,primary,7,Not_Present_Value
Dumbarton Bridge,Palo Alto,San Mateo,CA,Dumbarton Bridge,100,184877572,motorway,3,yes
Kings Cove Way,Carrollton,Isle of Wight,VA,Kings Cove Way,100,20311341,residential,Not_Present_Value,Not_Present_Value
Nolensville Pike,Nashville,Davidson,TN,Nolensville Pike,100,894483197,primary,9,Not_Present_Value
Arden Way,Sacramento,Sacramento,CA,Arden Way,100,1029614171,primary,Not_Present_Value,yes
New York State Thruway,Highland Mills,Orange,NY,New York State Thruway,100,39995184,motorway,2,yes
Capital Beltway,Alexandria,Fairfax,VA,Capital Beltway,100,1071598926,motorway,7,yes
New York State Thruway,Catskill,Greene,NY,New York State Thruway,100,20088256,motorway,2,yes
Limekiln Pike,Wyncote,Montgomery,PA,Limekiln Pike,100,423962225,trunk,3,yes
New York State Thruway,West Coxsackie,Greene,NY,New York State Thruway,100,38247192,motorway,2,yes
Capital Beltway,Suitland,Prince George's,MD,Capital Beltway,100,930660117,motorway,4,yes
Capital Beltway,Falls Church,Fairfax,VA,Capital Beltway,100,636964698,motorway,6,yes
Broadway,Pawtucket,Providence,RI,Broadway,100,361220915,primary,2,Not_Present_Value
Stadium Way,Los Angeles,Los Angeles,CA,Stadium Way,100,305932493,tertiary,Not_Present_Value,Not_Present_Value
Highway 92,Woodstock,Cherokee,GA,Highway 92,100,182380637,primary,5,yes
Highway 153,Easley,Anderson,SC,Highway 153,100,954661899,trunk,2,yes
Tuscany Way,Austin,Travis,TX,Tuscany Way,100,655477396,secondary,Not_Present_Value,Not_Present_Value
Highway 378,Gilbert,Lexington,SC,Highway 378,100,532650245,primary,5,Not_Present_Value
New York State Thruway,Tarrytown,Westchester,NY,New York State Thruway,100,240178338,motorway,4,yes
Ranch Road 2222,Austin,Travis,TX,Ranch Road 2222,100,1106770291,primary,3,yes
Hurley Way,Sacramento,Sacramento,CA,Hurley Way,100,1172939410,tertiary,4,yes
Una Antioch Pike,Antioch,Davidson,TN,Una Antioch Pike,100,19481011,secondary,2,Not_Present_Value
Big Basin Way,Boulder Creek,Santa Cruz,CA,Big Basin Way,100,125828269,tertiary,Not_Present_Value,no
Jane Addams Memorial Tollway,Elgin,Kane,IL,Jane Addams Memorial Tollway,100,78088679,motorway,3,yes
Avenue 360,Kingsburg,Tulare,CA,Avenue 360,100,10675280,unclassified,Not_Present_Value,Not_Present_Value
Hilltown Pike,Hatfield,Montgomery,PA,Hilltown Pike,100,621209406,secondary,Not_Present_Value,Not_Present_Value
Napa Valley Corporate Way,Napa,Napa,CA,Napa Valley Corporate Way,100,122365574,secondary,Not_Present_Value,yes
Riverway,Boston,Suffolk,MA,Riverway,100,798317647,primary,4,Not_Present_Value
Moomat Ahiko Way,Santa Monica,Los Angeles,CA,Moomat Ahiko Way,100,709496375,trunk_link,1,yes
Free Pike,Dayton,Montgomery,OH,Free Pike,100,764084190,secondary,Not_Present_Value,Not_Present_Value
Nazareth Pike,Bethlehem,Northampton,PA,Nazareth Pike,100,198794337,primary,2,yes
Iverson Way,Charlotte,Mecklenburg,NC,Iverson Way,100,1248710015,residential,Not_Present_Value,Not_Present_Value
Outer Loop,Louisville,Jefferson,KY,Outer Loop,100,598031111,secondary,2,yes
I-10,Montclair,San Bernardino,CA,I-10,100,1062799060,construction,Not_Present_Value,Not_Present_Value
Leesburg Pike,Falls Church,Fairfax County,VA,Leesburg Pike,100,949052330,primary,2,yes
Arizona Veterans Highway,Sedona,Coconino,AZ,Arizona Veterans Highway,100,26129042,motorway,2,yes
US Highway 90,Glen Saint Mary,Baker,FL,US Highway 90,100,202485918,primary,2,yes
El Camino Real,Carlsbad,San Diego,CA,El Camino Real,100,436304469,primary,3,yes
Bali Way,Marina del Rey,Los Angeles,CA,Bali Way,100,396806554,tertiary,6,Not_Present_Value
Lakewood Blvd,Downey,Los Angeles,CA,Lakewood Blvd,100,32296074,motorway,4,yes
Huntingdon Pike,Huntingdon Valley,Montgomery,PA,Huntingdon Pike,100,626575045,primary,2,yes
Dayton Lebanon Pike,Dayton,Montgomery,OH,Dayton Lebanon Pike,100,499949435,primary,2,Not_Present_Value
Winding Way,Fair Oaks,Sacramento,CA,Winding Way,100,789364784,tertiary,Not_Present_Value,yes
Broadway,Oakland,Alameda,CA,Broadway,100,184487455,unclassified,1,yes
Grove Way,Castro Valley,Alameda,CA,Grove Way,100,1064261182,secondary,2,yes
Antioch Pike,Nashville,Davidson,TN,Antioch Pike,100,1070315067,secondary,Not_Present_Value,Not_Present_Value
Cal Ripken Way,Baltimore,Baltimore City,MD,Cal Ripken Way,100,545115775,motorway,3,yes
Marly Way,Austin,Travis,TX,Marly Way,100,40544802,residential,Not_Present_Value,Not_Present_Value
Pepper Brook Way,Hacienda Heights,Los Angeles,CA,Pepper Brook Way,100,608183143,residential,Not_Present_Value,Not_Present_Value
Highway 67,Poway,San Diego,CA,Highway 67,100,1110632462,primary,4,yes
Arizona Veterans Highway,Sedona,Yavapai,AZ,Arizona Veterans Highway,100,26129040,motorway,2,yes
County Road 6,Minneapolis,Hennepin,MN,County Road 6,100,116622553,secondary,Not_Present_Value,yes
Avenue 296,Exeter,Tulare,CA,Avenue 296,100,1218080223,primary,3,yes
Dawn Way,Sacramento,Sacramento,CA,Dawn Way,100,10511276,residential,Not_Present_Value,Not_Present_Value
Capital Beltway,Annandale,Fairfax,VA,Capital Beltway,100,1120695691,motorway,4,yes
Industrial Way,Conshohocken,Montgomery,PA,Industrial Way,100,12371619,residential,Not_Present_Value,Not_Present_Value
Flower City Park,Rochester,Monroe,NY,Flower City Park,100,1217158263,residential,Not_Present_Value,Not_Present_Value
Bethlehem Pike,Montgomeryville,Montgomery,PA,Bethlehem Pike,100,957653146,trunk,4,yes
Highway 26,Mokelumne Hill,Calaveras,CA,Highway 26,100,119323743,secondary,2,Not_Present_Value
Park Row,Houston,Harris,TX,Park Row,100,598265251,secondary,2,yes
Columbia Pike,Ellicott City,Howard,MD,Columbia Pike,100,855462742,motorway,4,yes
Eisenhower Avenue Connector,Alexandria,Fairfax County,VA,Eisenhower Avenue Connector,100,232407884,secondary,1,yes
County Road 95,Palm Harbor,Pinellas,FL,County Road 95,100,11244623,tertiary,2,Not_Present_Value
Harleysville Pike,Harleysville,Montgomery,PA,Harleysville Pike,100,728342018,secondary,Not_Present_Value,Not_Present_Value
Vantage Way,Nashville,Davidson,TN,Vantage Way,100,1075327356,tertiary,3,yes
Coral Way,Miami,Miami-Dade,FL,Coral Way,100,790783558,secondary,3,yes
Ridge Pike,Norristown,Montgomery,PA,Ridge Pike,100,1105791729,primary,Not_Present_Value,Not_Present_Value
Uplands Way,Citrus Heights,Sacramento,CA,Uplands Way,100,981214917,residential,Not_Present_Value,Not_Present_Value
State Road 54,Lutz,Pasco,FL,State Road 54,100,587287023,primary,7,yes
George Mason Memorial Bridge,Washington,District of Columbia,DC,George Mason Memorial Bridge,100,296753118,motorway,4,yes
New York State Thruway,Suffern,Rockland,NY,New York State Thruway,100,1066992305,motorway,3,yes
Via Marisol,Los Angeles,Los Angeles,CA,Via Marisol,100,45528520,tertiary,Not_Present_Value,Not_Present_Value
Avenue 328,Visalia,Tulare,CA,Avenue 328,100,1030232397,secondary,2,Not_Present_Value
Highway 321,West Columbia,Lexington,SC,Highway 321,100,12495011,trunk,2,yes
New York State Thruway,Sloatsburg,Rockland,NY,New York State Thruway,100,604603702,motorway,3,yes
Rockville Pike,Bethesda,Montgomery,MD,Rockville Pike,100,26528767,primary,3,yes
Murfreesboro Pike,Antioch,Davidson,TN,Murfreesboro Pike,100,711683032,primary,4,Not_Present_Value
Pyramid Way,Sparks,Washoe,NV,Pyramid Way,100,705553252,primary,3,yes
Capital Beltway,Hyattsville,Prince George's,MD,Capital Beltway,100,961538304,motorway,4,yes
Old Highway 395,Fallbrook,San Diego,CA,Old Highway 395,100,34124199,secondary,Not_Present_Value,Not_Present_Value
Donelson Pike,Nashville,Davidson,TN,Donelson Pike,100,180643439,primary,Not_Present_Value,Not_Present_Value
Capital Beltway,Silver Spring,Montgomery,MD,Capital Beltway,100,1120695710,motorway,4,yes
Brick Church Pike,Nashville,Davidson,TN,Brick Church Pike,100,1030291026,tertiary,3,yes
Strawberry Plains Pike,Knoxville,Knox,TN,Strawberry Plains Pike,100,19529842,tertiary,2,yes
Manheim Pike,Lancaster,Lancaster,PA,Manheim Pike,100,121880804,trunk,Not_Present_Value,yes
Road 152,Tulare,Tulare,CA,Road 152,100,1289444878,unclassified,2,Not_Present_Value
Camino del Sur,Hacienda Heights,Los Angeles,CA,Camino del Sur,100,1253426540,tertiary,4,Not_Present_Value
State Route 208,Montgomery,Orange,NY,State Route 208,100,261457607,primary,Not_Present_Value,yes
White Bridge Pike,Nashville,Davidson,TN,White Bridge Pike,100,539162967,primary,7,Not_Present_Value
Warehouse Row,Austin,Travis,TX,Warehouse Row,100,15403759,residential,Not_Present_Value,Not_Present_Value
Via Verde,San Dimas,Los Angeles,CA,Via Verde,100,34393350,secondary,4,Not_Present_Value
